latitude	longitude
55.6364	37.4143
55.6508	37.4134
55.7091	37.4105
55.7233	37.4137
55.7818	37.4352
55.7837	37.436
55.7893	37.4394
55.8372	37.4707
55.8545	37.4851
55.8872	37.5118
55.9273	37.5484
55.9355	37.5559
55.9506	37.5707
55.9808	37.6054
56	37.6264
56.0253	37.6564
56.0655	37.702
56.0696	37.7077
56.0727	37.7115
56.111	37.7642
56.1455	37.8074
56.1536	37.8187
56.1649	37.8333
56.1938	37.8774
56.2182	37.9104
56.2344	37.9354
56.2554	37.9646
56.274	37.9952
56.2909	38.0195
56.3129	38.0562
56.3396	38.096
56.3518	38.1174
56.3636	38.1353
56.3892	38.1811
56.4182	38.2273
56.4272	38.2439
56.4364	38.2586
56.4632	38.3101
56.4917	38.3586
56.5	38.3751
56.5091	38.3905
56.5347	38.4436
56.5597	38.4899
56.5698	38.5116
56.5818	38.5335
56.6033	38.5825
56.6217	38.6212
56.636	38.6547
56.6545	38.6935
56.6679	38.7284
56.6772	38.7525
56.6971	38.8071
56.7243	38.8838
56.7254	38.8872
56.7273	38.8932
56.7487	38.9766
56.7557	39.0152
56.765	39.0784
56.7705	39.1465
56.7653	39.2091
56.7624	39.2778
56.7394	39.3872
56.7358	39.4091
56.7273	39.4405
56.6913	39.5404
56.6545	39.633
56.635	39.6717
56.5818	39.7761
56.5654	39.803
56.5091	39.8946
56.4806	39.9343
56.4364	39.9958
56.3787	40.0657
56.3636	40.0837
56.3397	40.1089
56.2909	40.159
56.2486	40.197
56.2182	40.224
56.1921	40.2441
56.1455	40.2785
56.0758	40.3227
56.0727	40.3245
56.0651	40.3283
56	40.3601
55.9774	40.3691
55.9273	40.3868
55.8892	40.397
55.8545	40.4044
55.809	40.4105
55.7818	40.4126
55.7352	40.4124
55.7091	40.4106
55.6668	40.4046
55.6364	40.398
55.6031	40.3883
55.5636	40.3736
55.5435	40.3647
55.4909	40.3366
55.4875	40.3345
55.4787	40.3283
55.4355	40.2971
55.4182	40.2825
55.3867	40.2538
55.3455	40.2106
55.3408	40.2054
55.3341	40.197
55.2984	40.1505
55.2727	40.1123
55.2588	40.0908
55.2446	40.0657
55.2224	40.0252
55.2	39.9785
55.1888	39.9545
55.1806	39.9343
55.1586	39.8778
55.1333	39.803
55.1311	39.7962
55.1273	39.7823
55.1072	39.7079
55.099	39.6717
55.0867	39.6137
55.0738	39.5404
55.0696	39.5133
55.0565	39.4091
55.0562	39.4061
55.0545	39.3843
55.0474	39.2906
55.0468	39.2778
55.0434	39.1666
55.0433	39.1465
55.0448	39.0328
55.0454	39.0152
55.0526	38.8874
55.0528	38.8838
55.0545	38.8663
55.0658	38.7525
55.069	38.7263
55.0839	38.6212
55.0966	38.5453
55.1067	38.4899
55.1273	38.393
55.1346	38.3586
55.1405	38.3347
55.1683	38.2273
55.2	38.1209
55.2074	38.096
55.2195	38.0607
55.2534	37.9646
55.2727	37.9174
55.307	37.8333
55.3455	37.7544
55.3709	37.702
55.4182	37.624
55.4516	37.5707
55.4909	37.5231
55.5476	37.4683
55.5636	37.4515
55.584	37.4394
55.6364	37.4143
