X - Plot 0	Y - Plot 0	X - Plot 1	Y - Plot 1	X - Plot 2	Y - Plot 2	X - Plot 3	Y - Plot 3
-2.90909	-4.30385	-1.54545	-5.77226	-0.787879	-7.09607	-0.787879	-8.31358
-2.90761	-4.30422	-1.5246	-5.77426	-0.780806	-7.09657	-0.772149	-8.31561
-2.75758	-4.33833	-1.39394	-5.78515	-0.636364	-7.10564	-0.636364	-8.33258
-2.70002	-4.34908	-1.35635	-5.78765	-0.616826	-7.10654	-0.593672	-8.33718
-2.60606	-4.3637	-1.24242	-5.79365	-0.484848	-7.11152	-0.484848	-8.34843
-2.51583	-4.37521	-1.19515	-5.79539	-0.458392	-7.11207	-0.421256	-8.3539
-2.45455	-4.38065	-1.09091	-5.79768	-0.333333	-7.1136	-0.333333	-8.36105
-2.34805	-4.38823	-1.04036	-5.79802	-0.305123	-7.11348	-0.254492	-8.3661
-2.30303	-4.38938	-0.939394	-5.79709	-0.181818	-7.11178	-0.181818	-8.37038
-2.19283	-4.39119	-0.89143	-5.79595	-0.15668	-7.11102	-0.0930109	-8.37408
-2.15152	-4.38977	-0.787879	-5.79173	-0.030303	-7.10594	-0.030303	-8.37634
-2.04793	-4.3859	-0.747922	-5.78954	-0.0127622	-7.10494	0.0635208	-8.37809
-2	-4.38147	-0.636364	-5.78143	0.121212	-7.09594	0.121212	-8.37883
-1.91196	-4.37346	-0.609454	-5.7791	0.126903	-7.09546	0.215406	-8.37839
-1.84848	-4.364	-0.484848	-5.76598	0.174951	-7.09091	0.272727	-8.37776
-1.78396	-4.35465	-0.475694	-5.7649	0.262397	-7.08264	0.362922	-8.37519
-1.69697	-4.33679	-0.422798	-5.75758	0.272727	-7.08155	0.424242	-8.37303
-1.66319	-4.33005	-0.346546	-5.74701	0.393958	-7.06668	0.506322	-8.36869
-1.55996	-4.30303	-0.333333	-5.74489	0.424242	-7.0626	0.575758	-8.36454
-1.54918	-4.30005	-0.221772	-5.72561	0.521889	-7.04781	0.64584	-8.3591
-1.54545	-4.29874	-0.181818	-5.7178	0.575758	-7.03897	0.727273	-8.35217
-1.44288	-4.26388	-0.101006	-5.70101	0.646384	-7.0262	0.781692	-8.34657
-1.39394	-4.24353	-0.030303	-5.68466	0.727273	-7.01049	0.878788	-8.33581
-1.34272	-4.22279	0.0159665	-5.67338	0.767623	-7.00198	0.914078	-8.33126
-1.25764	-4.18182	0.121212	-5.64516	0.878788	-6.97698	1.0303	-8.31534
-1.24853	-4.17693	0.129348	-5.64287	0.885776	-6.97529	1.04319	-8.31334
-1.24242	-4.1731	0.150622	-5.63636	0.907585	-6.9697	1.10611	-8.30303
-1.16301	-4.12414	0.23874	-5.60917	1.00052	-6.94587	1.16897	-8.29276
-1.09091	-4.07305	0.272727	-5.59776	1.0303	-6.93779	1.18182	-8.29054
-1.08261	-4.06725	0.344668	-5.5727	1.11233	-6.91411	1.29156	-8.26961
